family,value,run,benchmark,d4,d5,d6,d7,d8,checkpoint
gate_floor_dense,0.900,gate_floor_dense_0p9_seed321_t480k,mmgag_aerial,0.365957,0.374468,0.519149,0.557447,0.540426,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p9_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.900,gate_floor_dense_0p9_seed321_t480k,mmgag_ground,0.323404,0.361702,0.493617,0.544681,0.519149,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p9_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.900,gate_floor_dense_0p9_seed321_t480k,mmgag_text,0.344681,0.348936,0.455319,0.531915,0.502128,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p9_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.900,gate_floor_dense_0p9_seed321_t480k,swissview100_aerial,0.382000,0.454000,0.492000,0.478000,0.314000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p9_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.900,gate_floor_dense_0p9_seed321_t480k,swissviewmonuments_aerial,0.349333,0.438889,0.566667,0.550000,0.500000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p9_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.900,gate_floor_dense_0p9_seed321_t480k,swissviewmonuments_ground,0.389333,0.452778,0.566667,0.566667,0.500000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p9_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.900,gate_floor_dense_0p9_seed321_t480k,xbd_pre_aerial,0.336500,0.388250,0.502500,0.533000,0.550500,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p9_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.900,gate_floor_dense_0p9_seed321_t480k,xbd_disaster_aerial,0.334750,0.393250,0.502750,0.559000,0.552750,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p9_seed321_t480k/geoexplorer.pt
gate_floor_dense,1.000,gate_floor_dense_1_seed321_t480k,masa_aerial,0.340000,0.420000,0.380000,0.480000,0.380000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_1_seed321_t480k/geoexplorer.pt
gate_floor_dense,1.000,gate_floor_dense_1_seed321_t480k,mmgag_aerial,0.310638,0.365957,0.417021,0.348936,0.276596,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_1_seed321_t480k/geoexplorer.pt
gate_floor_dense,1.000,gate_floor_dense_1_seed321_t480k,mmgag_ground,0.259574,0.340426,0.421277,0.370213,0.276596,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_1_seed321_t480k/geoexplorer.pt
gate_floor_dense,1.000,gate_floor_dense_1_seed321_t480k,mmgag_text,0.276596,0.353191,0.429787,0.306383,0.238298,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_1_seed321_t480k/geoexplorer.pt
gate_floor_dense,1.000,gate_floor_dense_1_seed321_t480k,swissview100_aerial,0.420000,0.368000,0.428000,0.386000,0.200000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_1_seed321_t480k/geoexplorer.pt
gate_floor_dense,1.000,gate_floor_dense_1_seed321_t480k,swissviewmonuments_aerial,0.309333,0.369444,0.433333,0.372222,0.283333,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_1_seed321_t480k/geoexplorer.pt
gate_floor_dense,1.000,gate_floor_dense_1_seed321_t480k,swissviewmonuments_ground,0.309333,0.358333,0.446667,0.450000,0.366667,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_1_seed321_t480k/geoexplorer.pt
gate_floor_dense,1.000,gate_floor_dense_1_seed321_t480k,xbd_pre_aerial,0.324250,0.350000,0.417500,0.382500,0.258750,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_1_seed321_t480k/geoexplorer.pt
gate_floor_dense,1.000,gate_floor_dense_1_seed321_t480k,xbd_disaster_aerial,0.342500,0.340250,0.427500,0.405750,0.290750,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_1_seed321_t480k/geoexplorer.pt
val_dists_bias,4,val_dists_4_seed321_t480k,masa_aerial,0.300000,0.340000,0.480000,0.580000,0.500000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/val_dists_4_seed321_t480k/geoexplorer.pt
val_dists_bias,4,val_dists_4_seed321_t480k,mmgag_aerial,0.319149,0.451064,0.514894,0.523404,0.472340,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/val_dists_4_seed321_t480k/geoexplorer.pt
val_dists_bias,4,val_dists_4_seed321_t480k,mmgag_ground,0.297872,0.404255,0.493617,0.557447,0.493617,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/val_dists_4_seed321_t480k/geoexplorer.pt
val_dists_bias,4,val_dists_4_seed321_t480k,mmgag_text,0.348936,0.434043,0.451064,0.438298,0.429787,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/val_dists_4_seed321_t480k/geoexplorer.pt
